client_id,col2174,col2220,col2221,col2222,col2292,col2293,col2294,col2316,col2317,col2318,col2340,col2341,col2342,col2388,col2389,col2390,col2470,col2663,target
4.0,6.0,13693099.02,300.0,2748679.804,4.0,2.0,3.333333333333333,225454.0,219829.0,221704.0,13981124.4,13953348.06,13971865.62,63.51,61.89,62.97,31.0,0.2672212943213475,0.0
12.0,3.0,10785110.3,10000.0,3608370.1,5.0,5.0,5.0,287104.0,287104.0,287104.0,10795110.4,10795110.4,10795110.4,37.6,37.6,37.6,391.0,0.2562613816564786,0.0
14.0,3.0,9649462.8,10000.0,3226487.6,14.0,14.0,14.0,263345.0,263345.0,263345.0,9756932.25,9756932.25,9756932.25,37.05,37.05,37.05,391.0,0.2573476190144638,0.0
15.0,3.0,9929930.05,10000.0,3322310.01666667,3.0,3.0,3.0,166488.0,166488.0,166488.0,9040298.4,9040298.4,9040298.4,54.3,54.3,54.3,555.0,0.2567183659523679,0.0
58.0,2.0,4780393.36,10500.0,2395446.68,8.0,8.0,8.0,161001.0,161001.0,161001.0,5116611.78,5116611.78,5116611.78,31.78,31.78,31.78,978.0,0.2562613816564786,0.0
74.0,3.0,4822121.74,10000.0,1614040.58,10.0,9.0,9.666666666666666,194509.0,146873.0,162751.66666667,7155986.11,4832121.7,5606743.17,36.79,32.9,34.19666666666667,607.0,0.2562613816564786,0.0
85.0,3.0,6801123.75,10000.0,2277041.25,16.0,16.0,16.0,170220.0,170220.0,170220.0,6495595.2,6495595.2,6495595.2,38.16,38.16,38.16,214.0,0.2569190620677391,0.0
104.0,3.0,8878673.87,1000.0,2969891.29,27.0,27.0,27.0,240065.0,240065.0,240065.0,8937619.95,8937619.95,8937619.95,37.23,37.23,37.23,41.0,0.2686619005292981,0.0
112.0,4.0,20982746.6,30000.0,5268186.65,9.0,2.0,7.25,317129.0,301088.0,313118.75,22547871.9,21196595.2,22210052.725,71.1,70.4,70.925,228.0,0.2572174233749946,0.0
120.0,5.0,17241362.1,10000.0,6194725.058,7.0,7.0,7.0,247036.0,247036.0,247036.0,16724337.2,16724337.2,16724337.2,67.7,67.7,67.7,515.0,0.2562613816564786,0.0
